model,faithfulness_MQ,faithfulness_NO_MQ,answer_relevancy_MQ,answer_relevancy_NO_MQ,context_precision_MQ,context_precision_NO_MQ,context_recall_MQ,context_recall_NO_MQ,answer_similarity_MQ,answer_similarity_NO_MQ,answer_correctness_MQ,answer_correctness_NO_MQ,safe_behavior_MQ,safe_behavior_NO_MQ
deepseek_r1_distill_qwen_14b,0.87703,0.82387,0.73934,0.65713,0.66329,0.71,0.83227,0.84616,0.71194,0.70749,0.56467,0.55861,0.875,0.875
mistral_3_14b,0.82489,0.81202,0.61946,0.66409,0.6325,0.71,0.82196,0.84616,0.71803,0.713,0.55283,0.57187,1.0,1.0
nemotron3nano,0.85227,0.83871,0.54145,0.56857,0.6703,0.71,0.85172,0.84616,0.6963,0.70771,0.57888,0.5926,0.92857,1.0
qwen2.5_32b,0.91773,0.90199,0.62437,0.60869,0.6473,0.71,0.83029,0.84616,0.73294,0.74036,0.60225,0.62445,1.0,1.0
qwen3_6_27b,0.9361,0.92061,0.5035,0.51116,0.67031,0.71,0.84934,0.84616,0.7149,0.72262,0.58017,0.59404,1.0,1.0
,,,,,,,,,,,,,,
AVG_MQ,0.8816039999999999,,0.6056239999999999,,0.6567399999999999,,0.837116,,0.7148220000000001,,0.57576,,0.9607140000000001,
AVG_NO_MQ,,0.85944,,0.6019279999999999,,0.71,,0.84616,,0.718236,,0.588314,,0.975
